Filtro:,Over 0.5 1H,
,,
1,Athletic Bilbao vs Elche,España La Liga
2,Greuther Fürth vs Arminia Bielefeld,Alemania 2. Bundesliga
3,Frosinone vs Empoli,Italia Serie B
4,Brest vs Olympique Marseille,Francia Ligue 1
5,US Boulogne vs Clermont,Francia Ligue 2
6,De Graafschap vs Jong Utrecht,Países Bajos Eerste Divisie
7,FC Dordrecht vs Jong Ajax,Países Bajos Eerste Divisie
8,Cambuur vs Waalwijk,Países Bajos Eerste Divisie
9,Gent vs Cercle Brugge,Belgica Jupiler Pro League
10,VfB Stuttgart II vs Waldhof Mannheim,Alemania 3. Liga
11,Bayern Munchen II vs Unterhaching,Alemania Regionalliga Bayern
12,Audace Cerignola vs Virtus Casarano,Italia Serie C
13,Floridsdorfer AC vs Bregenz,Austria 2. Liga
14,Austria Lustenau vs Kapfenberg,Austria 2. Liga
15,First Vienna vs St Polten,Austria 2. Liga
16,Parndorf vs Oberwart,Austria Regionalliga East
17,Favoritner AC vs Union Mauer,Austria Regionalliga East
18,FCM Traiskirchen vs SV Gloggnitz,Austria Regionalliga East
19,Wiener SK vs SC Retz,Austria Regionalliga East
20,Kremser SC vs SC Neusiedl,Austria Regionalliga East
21,RFC Liège vs Club Brugge II,Belgica Challenger Pro League
22,RSC Anderlecht II vs KRC Genk II,Belgica Challenger Pro League
23,Vukovar '91 vs Slaven Belupo,Croacia HNL
24,FC Nordsjælland vs Vejle BK,Dinamarca Superliga
25,Waterford United vs Sligo Rovers,Irlanda Premier League
26,Kerry vs Athlone Town,Irlanda First Division
27,Finn Harps vs UCD Dublin,Irlanda First Division
28,Wexford Youths vs Cork City,Irlanda First Division
29,Piast Gliwice vs Motor Lublin,Polonia Ekstraklasa
30,Wisla Krakow vs Wieczysta Kraków,Polonia 1. Liga
31,Étoile Carouge vs Yverdon-Sport,Suiza Challenge League
32,FC Stade Nyonnais vs FC Aarau,Suiza Challenge League
33,The New Saints vs Caernarfon Town,País de Gales Premier
34,Unión La Calera vs Ñublense,Chile Primera Division
35,Orense SC vs LDU,Ecuador Serie A
36,2 de Mayo vs Deportivo Recoleta,Paraguay Primera Division
37,Dorados Sinaloa vs Monarcas Morelia,México Liga de Expansion MX
38,Sumqayit FK vs Gabala FC,Azerbaiyán Premier League
39,Yangon United vs Shan United,Myanmar National League
40,Sailiya SC vs Umm Salal SC,Katar Stars League
41,Al Arabi (KSA) vs Abha Club,Arabia Saudita 1st Division
42,Al Dir'iya vs Al Oruba (KSA),Arabia Saudita 1st Division
43,Al Ula vs Al Ta'i,Arabia Saudita 1st Division
44,Al Dhafra vs Al Ahli Dubai,EAU Football League
45,Wahda Abu Dhabi vs Jazira Abu Dhabi,EAU Football League
46,Al Hamriyah vs Masfoot,EAU Division 1
47,Al Thaid vs Gulf United,EAU Division 1
48,Adelaide United vs Perth Glory,Australia A-League
49,Wellington Phoenix vs Auckland,Australia A-League
50,Sydney FC vs Brisbane Roar,Australia A-League
